0.006,0.805
0.006,0.8
0.006,0.788
0.007,0.772
0.008,0.756
0.01,0.741
0.011,0.728
0.012,0.717
0.014,0.707
0.015,0.698
0.017,0.69
0.018,0.683
0.02,0.676
0.021,0.671
0.023,0.665
0.024,0.66
0.026,0.656
0.028,0.651
0.029,0.648
0.031,0.644
0.032,0.64
0.034,0.636
0.038,0.636
0.043,0.636
0.051,0.636
0.059,0.636
0.067,0.636
0.076,0.636
0.084,0.636
0.093,0.637
0.101,0.637
0.11,0.637
0.119,0.638
0.127,0.638
0.136,0.638
0.144,0.639
0.151,0.639
0.158,0.639
0.165,0.64
0.173,0.64
0.182,0.64
0.191,0.641
0.199,0.642
0.205,0.642
0.21,0.642
0.215,0.643
0.222,0.643
0.23,0.644
0.238,0.644
0.246,0.645
0.251,0.645
0.256,0.646
0.262,0.646
0.27,0.647
0.277,0.647
0.282,0.648
0.285,0.648
0.289,0.648
0.294,0.649
0.3,0.649
0.302,0.65
0.304,0.65
0.304,0.65
0.305,0.65
0.305,0.65
0.304,0.65
0.303,0.65
0.302,0.65
0.301,0.649
0.3,0.649
