time,altp,temp,p,gx,gy,gz,ax,ay,az,vz,alt,lat,lon
0.0028924940382077454,0.0,14.999981231214292,1013.249660325995,0.0,0.0,0.0,1.4349296274686127e-42,5.169878828456423e-26,8.271806125530277e-25,8.077935669463161e-28,0.0,0.0,0.0
0.0028924940382077454,0.0,14.999981231214292,1013.249660325995,0.0,0.0,0.0,1.4349296274686127e-42,5.169878828456423e-26,8.271806125530277e-25,8.077935669463161e-28,0.0,0.0,0.0
0.005784988076415491,0.0,14.999962462428584,1013.2493206519902,1.6313261169996311e-55,-3.2626522339992623e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005784988076415492,8.501458049299426e-30,14.999962462428584,1013.2493206519902,5.715643798737069e-55,5.7483186370849744e-55,-5.746326405002575e-66,2.2589879518965664e-41,5.67478838871847e-25,6.486312809015487e-24,7.901637749332556e-27,8.501458049299426e-30,0.0,0.0
0.00578498807641549,-6.310887241768095e-30,14.999962462428584,1013.2493206519902,-3.2626522339992623e-55,-8.156630584998156e-55,4.7477838728798994e-66,-2.2958874039497803e-41,-4.1359030627651384e-25,-3.308722450212111e-24,-9.693522803355793e-27,-6.310887241768095e-30,0.0,0.0
0.0037744647120690686,-3.025477419920527e-15,14.999975508291982,1013.2495567536083,-2.0340688800802594e-40,-2.0456971190303166e-40,2.0449881285082698e-51,-8.03922927185271e-27,-2.019529359944293e-10,-2.3083326211125394e-09,-2.812014886430844e-12,-3.025477419920527e-15,0.0,0.0
0.0037744647120690686,-3.025477419920527e-15,14.999975508291982,1013.2495567536083,-2.0340688800802594e-40,-2.0456971190303166e-40,2.0449881285082698e-51,-8.03922927185271e-27,-2.019529359944293e-10,-2.3083326211125394e-09,-2.812014886430844e-12,-3.025477419920527e-15,0.0,0.0
0.007548929424138141,2.8245281044987062e-14,14.99995101658402,1013.2491135072169,1.8989679712842863e-39,1.9098238737293045e-39,-1.9091619736793618e-50,7.505271355637193e-26,1.8853941521641815e-09,2.1550153770556963e-08,2.6252435482401613e-11,2.8245281044987062e-14,0.0,0.0
0.007548929424138137,2.8245281044987e-14,14.99995101658402,1013.2491135072169,1.8989679712842817e-39,1.9098238737293002e-39,-1.9091619736793575e-50,7.505271355637175e-26,1.8853941521641774e-09,2.1550153770556914e-08,2.6252435482401555e-11,2.8245281044987e-14,0.0,0.0
0.007548929424138137,2.8245281044987e-14,14.99995101658402,1013.2491135072169,1.8989679712842817e-39,1.9098238737293002e-39,-1.9091619736793575e-50,7.505271355637175e-26,1.8853941521641774e-09,2.1550153770556914e-08,2.6252435482401555e-11,2.8245281044987e-14,0.0,0.0
