0.006,0.696
0.006,0.695
0.006,0.692
0.007,0.686
0.007,0.677
0.008,0.669
0.008,0.66
0.009,0.651
0.01,0.642
0.011,0.634
0.012,0.626
0.013,0.619
0.014,0.612
0.015,0.606
0.017,0.6
0.018,0.595
0.019,0.589
0.02,0.585
0.021,0.58
0.022,0.576
0.024,0.572
0.025,0.569
0.026,0.565
0.027,0.562
0.029,0.559
0.031,0.555
0.034,0.549
0.038,0.546
0.045,0.546
0.052,0.546
0.06,0.546
0.067,0.546
0.075,0.546
0.083,0.547
0.091,0.547
0.1,0.547
0.108,0.547
0.117,0.547
0.126,0.548
0.136,0.548
0.145,0.548
0.155,0.549
0.165,0.549
0.175,0.55
0.186,0.55
0.196,0.551
0.207,0.551
0.218,0.552
0.229,0.553
0.24,0.553
0.252,0.554
0.264,0.555
0.276,0.556
0.288,0.556
0.3,0.557
0.313,0.558
0.325,0.559
0.338,0.561
0.351,0.562
0.364,0.563
0.378,0.564
0.391,0.566
0.405,0.567
0.419,0.569
0.433,0.57
0.447,0.572
0.462,0.573
0.476,0.575
0.491,0.577
0.506,0.579
0.521,0.581
0.536,0.583
0.551,0.585
0.566,0.588
0.582,0.59
0.597,0.592
0.613,0.595
