time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,e0,e1,e2,e3,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.002820337821285722,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.005640675642571444,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.011281351285142889,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.016922026927714332,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.022562702570285777,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.026400330607877574,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.03023795864546937,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.03791321472065297,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.04558847079583656,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.053263726871020156,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.055382096946080546,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.057500467021140936,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.061737207171261715,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.0659739473213825,0.0,0.0,475.5751953125,0.0,0.0,0.0,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.07021068747150327,1.9483431299854432e-23,4.894419628625835e-07,475.5752009068472,9.197373247776031e-21,0.00023104659268128754,0.0026408746387219123,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.07444742762162405,1.2820433148057807e-22,3.2206123593747195e-06,475.5752321242677,4.2125535544965935e-20,0.0010582327356228934,0.012095655516663886,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.07868416777174483,4.380124713195516e-22,1.1003281733158273e-05,475.5753210805857,1.0412282232368933e-19,0.002615662392962543,0.029897157957927748,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.08292090792186561,1.0694127861574163e-21,2.686464643274313e-05,475.5755023768138,1.9393667220635665e-19,0.004871870054861735,0.05568572953932639,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.09193686420734799,4.066593760376161e-21,0.00010215662742414956,475.57636296809454,4.709247956940105e-19,0.011830070012711759,0.13521831899062392,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.10095282049283037,1.0083816066194347e-20,0.0002533148629020131,475.5780907146321,8.638692313382821e-19,0.02170120066304538,0.24804585861132775,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.10996877677831275,2.0176896841868502e-20,0.0005068624639456482,475.58098877697324,1.3750681488429523e-18,0.034542994171901445,0.3948282300788137,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.11979455859435317,3.7077793348442027e-20,0.0009314287445461567,475.5858415917665,2.0650441672489915e-18,0.05187583516789608,0.5929435092184784,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.12633789483279168,5.2279189047200706e-20,0.0013133019800427642,475.5902064228212,2.5813304701346733e-18,0.06484542854159112,0.7411866398253595,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.13288123107123018,7.093605506287354e-20,0.0017819798521814035,475.5955634354129,3.121224127982046e-18,0.07840806068615862,0.8962082346008782,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.13942456730966868,9.320290780717287e-20,0.002341343957313306,475.6019569963908,3.6847390482064606e-18,0.09256408096884108,1.0580122868308892,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.15251123978654568,1.4903714162468223e-19,0.0037439519771221372,475.6179888794175,4.864997978146924e-18,0.12221328589921024,1.396904249920298,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.1655979122634227,2.2066668190962115e-19,0.0055433528247678466,475.63855612521974,6.0892847927706676e-18,0.15296851234952766,1.7484380968306952,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.1786845847402997,3.085537000777369e-19,0.007751156677196218,475.66379143872723,7.347980020391597e-18,0.18458811022072796,2.1098517542907955,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.1917712572171767,4.131316839873369e-19,0.01037825315364227,475.6938192888574,8.63992608195698e-18,0.2170430000475456,2.4808128424916776,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.2048579296940537,5.349204911971497e-19,0.013437701560756727,475.72878894416834,9.980890466207636e-18,0.25072927585058447,2.865848736805656,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.2179446021709307,6.746284610723463e-19,0.016947296043930426,475.7689037926725,1.1379980203694327e-17,0.28587571472973095,3.267574371450105,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.2310312746478077,8.331368078639757e-19,0.02092917352689606,475.81441686056604,1.2857480905464998e-17,0.32299191015116496,3.691814426396607,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.24767891284989502,1.0637588690969187e-18,0.026722614763815652,475.880636196917,1.4873869434835835e-17,0.3736454703234039,4.270787268486367,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.26432655105198233,1.329056526956643e-18,0.03338713932354655,475.95681206120776,1.7019835343427032e-17,0.42755413509462986,4.886966126393507,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.28097418925406964,1.6308649822895874e-18,0.04096884916270534,476.0434714012137,1.925313114463853e-17,0.48365660820499456,5.528220328359238,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.28389441428132706,1.6876723741880746e-18,0.042395903820993744,476.05978271059683,1.9653042931247516e-17,0.4937027652087276,5.643048428353658,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
0.2868146393085845,1.745654242770992e-18,0.04385246242881328,476.0764312516663,2.0057505419596973e-17,0.5038632400837832,5.759183187596436,-0.9230002039112792,0.04029905920751535,0.016692416874629214,0.38231920253318424,0.0,0.0,0.0
