0.006,0.673
0.006,0.674
0.006,0.673
0.006,0.668
0.007,0.66
0.007,0.651
0.008,0.641
0.009,0.631
0.01,0.622
0.011,0.613
0.012,0.606
0.013,0.599
0.014,0.593
0.015,0.587
0.016,0.582
0.017,0.576
0.018,0.571
0.019,0.567
0.02,0.562
0.021,0.558
0.023,0.554
0.024,0.551
0.025,0.548
0.026,0.544
0.027,0.541
0.029,0.537
0.032,0.531
0.036,0.526
0.043,0.526
0.05,0.526
0.057,0.526
0.064,0.526
0.072,0.527
0.079,0.527
0.087,0.527
0.095,0.527
0.104,0.527
0.112,0.528
0.121,0.528
0.13,0.528
0.139,0.528
0.148,0.529
0.158,0.529
0.168,0.53
0.178,0.53
0.188,0.531
0.198,0.531
0.209,0.532
0.219,0.532
0.23,0.533
0.241,0.534
0.253,0.534
0.264,0.535
0.276,0.536
0.288,0.537
0.3,0.538
0.312,0.539
0.324,0.54
0.337,0.541
0.349,0.542
0.362,0.543
0.375,0.544
0.388,0.546
0.402,0.547
0.415,0.549
0.429,0.55
0.443,0.552
0.457,0.553
0.471,0.555
0.485,0.557
0.5,0.559
0.514,0.561
0.529,0.563
0.544,0.565
0.559,0.567
0.574,0.569
0.589,0.572
