0.598,0.573
0.594,0.572
0.59,0.572
0.586,0.571
0.582,0.571
0.578,0.57
0.574,0.569
0.57,0.569
0.567,0.568
0.563,0.568
0.559,0.567
0.555,0.567
0.552,0.566
0.548,0.566
0.544,0.565
0.541,0.565
0.537,0.564
0.534,0.564
0.53,0.563
0.527,0.563
0.524,0.562
0.52,0.562
0.517,0.561
0.514,0.561
0.51,0.56
0.507,0.56
0.504,0.559
0.501,0.559
0.497,0.559
0.494,0.558
0.491,0.558
0.488,0.557
0.485,0.557
0.482,0.556
0.479,0.556
0.476,0.556
0.473,0.555
0.47,0.555
0.467,0.555
0.464,0.554
0.461,0.554
0.458,0.554
0.455,0.553
0.452,0.553
0.449,0.553
0.447,0.552
0.444,0.552
0.441,0.552
0.438,0.551
0.436,0.551
0.433,0.551
0.43,0.55
0.427,0.55
0.425,0.55
0.422,0.549
0.419,0.549
0.417,0.549
0.414,0.548
0.412,0.548
0.409,0.548
0.406,0.548
0.404,0.547
0.401,0.547
0.399,0.547
0.396,0.547
0.394,0.546
0.391,0.546
0.389,0.546
0.386,0.546
0.384,0.545
0.382,0.545
0.379,0.545
0.377,0.545
0.374,0.544
0.372,0.544
0.37,0.544
0.367,0.544
0.365,0.543
0.363,0.543
0.36,0.543
0.358,0.543
0.356,0.543
0.354,0.542
0.351,0.542
0.349,0.542
0.347,0.542
0.345,0.542
0.342,0.541
0.34,0.541
0.338,0.541
0.336,0.541
0.334,0.541
0.332,0.54
0.329,0.54
0.327,0.54
0.325,0.54
0.323,0.54
0.321,0.539
0.319,0.539
0.317,0.539
0.315,0.539
0.312,0.539
0.31,0.539
0.308,0.538
0.306,0.538
0.304,0.538
0.302,0.538
0.3,0.538
0.298,0.538
0.296,0.537
0.294,0.537
0.292,0.537
0.29,0.537
0.288,0.537
0.286,0.537
0.284,0.537
0.282,0.536
0.28,0.536
0.278,0.536
0.276,0.536
0.275,0.536
0.273,0.536
0.271,0.536
0.269,0.535
0.267,0.535
0.265,0.535
0.263,0.535
0.261,0.535
0.259,0.535
0.258,0.535
0.256,0.534
0.254,0.534
0.252,0.534
0.25,0.534
0.248,0.534
0.247,0.534
0.245,0.534
0.243,0.534
0.241,0.534
0.239,0.533
0.237,0.533
0.236,0.533
0.234,0.533
0.232,0.533
0.23,0.533
0.228,0.533
0.227,0.533
0.225,0.533
0.223,0.532
0.221,0.532
0.22,0.532
0.218,0.532
0.216,0.532
0.214,0.532
0.213,0.532
0.211,0.532
0.209,0.532
0.208,0.532
0.206,0.531
0.204,0.531
0.202,0.531
0.201,0.531
0.199,0.531
0.197,0.531
0.196,0.531
0.194,0.531
0.192,0.531
0.191,0.531
0.189,0.531
0.187,0.53
0.186,0.53
0.184,0.53
0.182,0.53
0.181,0.53
0.179,0.53
0.177,0.53
0.176,0.53
0.174,0.53
0.172,0.53
0.171,0.53
0.169,0.53
0.168,0.53
0.166,0.53
0.164,0.529
0.163,0.529
0.161,0.529
0.159,0.529
0.158,0.529
0.156,0.529
0.155,0.529
0.153,0.529
0.151,0.529
0.15,0.529
0.148,0.529
0.147,0.529
0.145,0.529
0.144,0.529
0.142,0.529
0.141,0.528
0.139,0.528
0.137,0.528
0.136,0.528
0.134,0.528
0.133,0.528
0.131,0.528
0.13,0.528
0.128,0.528
0.127,0.528
0.125,0.528
0.124,0.528
0.122,0.528
0.121,0.528
0.119,0.528
0.118,0.528
0.116,0.528
0.115,0.528
0.113,0.528
0.112,0.528
0.11,0.527
0.109,0.527
0.107,0.527
0.106,0.527
0.104,0.527
0.103,0.527
0.101,0.527
0.1,0.527
0.098,0.527
0.097,0.527
0.095,0.527
0.094,0.527
0.092,0.527
0.091,0.527
0.089,0.527
0.088,0.527
0.087,0.527
0.085,0.527
0.084,0.527
0.082,0.527
0.081,0.527
0.079,0.527
0.078,0.527
0.076,0.527
0.075,0.527
0.073,0.527
0.072,0.527
0.07,0.527
0.069,0.527
0.068,0.526
0.066,0.526
0.065,0.526
0.064,0.526
0.062,0.526
0.061,0.526
0.059,0.526
0.058,0.526
0.057,0.526
0.056,0.526
0.054,0.526
0.053,0.526
0.052,0.526
0.05,0.526
0.049,0.526
0.048,0.526
0.046,0.526
0.045,0.526
0.044,0.526
0.043,0.526
0.041,0.526
0.04,0.526
0.039,0.528
0.038,0.53
0.036,0.532
0.035,0.534
0.034,0.535
0.033,0.538
0.032,0.54
0.031,0.542
0.03,0.544
0.029,0.546
0.028,0.549
0.027,0.552
0.026,0.554
0.025,0.557
0.024,0.559
0.024,0.561
0.023,0.562
0.023,0.564
0.022,0.565
0.022,0.566
0.022,0.567
0.022,0.567
