time,altp,temp,p,gx,gy,gz,ax,ay,az,vz,alt,lat,lon
0.0,475.57127077501303,296.8474390106927,95741.61662122162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.943052799999997,-48.9540861
0.002561979156211422,475.57127077501303,296.8474390106927,95741.61662122162,0.0,1.7105694144590052e-49,9.956824444577827e-60,1.1210387714598537e-44,4.0389678347315804e-28,0.0,0.0,0.0,-21.943052799999997,-48.9540861
0.005123958312422844,475.57127077501303,296.8474390106927,95741.61662122162,0.0,-6.842277657836021e-49,-3.982729777831131e-59,0.0,-1.6155871338926322e-27,0.0,0.0,0.0,-21.943052799999997,-48.9540861
0.010247916624845688,475.57127077501303,296.8474390106927,95741.61662122162,0.0,1.0947644252537633e-47,0.0,0.0,0.0,-2.0679515313825692e-25,0.0,9.860761315262648e-32,-21.943052799999997,-48.9540861
0.015371874937268533,475.57127077501303,296.8474390106927,95741.61662122162,0.0,-2.1895288505075267e-47,-1.2744735289059618e-57,-2.8698592549372254e-42,0.0,-8.271806125530277e-25,-8.077935669463161e-28,0.0,-21.943052799999997,-48.9540861
0.020495833249691377,475.57127077501303,296.8474390106927,95741.61662122162,-4.3790577010150533e-47,1.7516230804060213e-46,-5.0978941156238473e-57,0.0,0.0,0.0,0.0,0.0,-21.943052799999997,-48.9540861
0.022717164041218128,475.57127077501303,296.8474390106927,95741.61662122162,-4.3790577010150533e-47,8.758115402030107e-47,0.0,0.0,0.0,0.0,1.6155871338926322e-27,7.888609052210118e-31,-21.943052799999997,-48.9540861
0.02493849483274488,475.57127077501303,296.8474390106927,95741.61662122162,1.7516230804060213e-46,-3.503246160812043e-46,-4.078315292499078e-56,0.0,-8.271806125530277e-25,-1.3234889800848443e-23,-6.462348535570529e-27,-3.1554436208840472e-30,-21.943052799999997,-48.9540861
0.02938115641579838,475.57127077501303,296.8474390106927,95741.61662122162,0.0,5.605193857299268e-45,0.0,3.6734198463196485e-40,1.3234889800848443e-23,1.0587911840678754e-22,1.0339757656912846e-25,5.048709793414476e-29,-21.943052799999997,-48.9540861
0.03382381799885188,475.57127077501303,296.8474390106927,95741.61662122162,1.1210387714598537e-44,0.0,-1.305060893599705e-54,0.0,0.0,-1.2705494208814505e-21,0.0,-2.0194839173657902e-28,-21.943052799999997,-48.9540861
0.038266479581905384,475.57127077501303,296.8474390106927,95741.61662122162,-6.726232628759122e-44,0.0,5.22024357439882e-54,5.877471754111438e-39,0.0,0.0,1.6543612251060553e-24,0.0,-21.943052799999997,-48.9540861
