time,altp,temp,p,gx,gy,gz,ax,ay,az,vz,alt,lat,lon
0.0,475.57127077501303,296.8474390106927,95741.61662122162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.943052799999997,-48.9540861
0.002893136603228063,475.57127077501303,296.8474390106927,95741.61662122162,0.0,0.0,5.0978941156238473e-57,0.0,0.0,0.0,8.077935669463161e-28,0.0,-21.943052799999997,-48.9540861
0.005786273206456126,475.57127077501303,296.8474390106927,95741.61662122162,5.473822126268817e-48,0.0,0.0,0.0,0.0,-3.308722450212111e-24,0.0,-3.1554436208840472e-30,-21.943052799999997,-48.9540861
0.011572546412912253,475.57127077501303,296.8474390106927,95741.61662122162,-4.3790577010150533e-47,0.0,3.2626522339992623e-55,9.183549615799121e-41,0.0,5.293955920339377e-23,5.169878828456423e-26,5.048709793414476e-29,-21.943052799999997,-48.9540861
0.01735881961936838,475.571270775018,296.8474390106927,95741.6166212216,0.0,3.503246160812043e-46,0.0,-3.6734198463196485e-40,-6.617444900424222e-24,0.0,-1.0339757656912846e-25,-1.0097419586828951e-28,-21.943052799999997,-48.9540861
0.023145092825824505,475.571270775018,296.8474390106927,95741.6166212216,7.006492321624085e-46,1.401298464324817e-45,0.0,0.0,5.293955920339377e-23,4.235164736271502e-22,0.0,0.0,-21.943052799999997,-48.9540861
0.026921739448219472,475.571270775018,296.8474390106927,95741.6166212216,0.0,0.0,-5.22024357439882e-54,2.938735877055719e-39,-5.293955920339377e-23,0.0,0.0,0.0,-21.943052799999997,-48.9540861
0.03069838607061444,475.571270775018,296.8474390106927,95741.6166212216,-5.605193857299268e-45,0.0,2.088097429759528e-53,0.0,0.0,3.3881317890172014e-21,0.0,-3.2311742677852644e-27,-21.943052799999997,-48.9540861
0.03825167931540437,475.571270775018,296.8474390106927,95741.6166212216,0.0,0.0,-3.3409558876152446e-52,-9.4039548065783e-38,0.0,-2.710505431213761e-20,-5.293955920339377e-23,0.0,-21.943052799999997,-48.9540861
0.04580497256019431,475.57127077501303,296.8474390106927,95741.61662122163,-1.793662034335766e-43,0.0,1.3363823550460978e-51,3.76158192263132e-37,0.0,1.0842021724855044e-19,1.0587911840678754e-22,2.0679515313825692e-25,-21.943052799999997,-48.9540861
